comment_post_ID,product_sku,comment_author,comment_author_email,comment_date,comment_content,comment_approved,rating,title,verified
101,DC-COMPOUND-A,John R.,,2025-11-14T09:22:00,Received the 10g 98% variant. Purity was verified with our HPLC setup and matched the stated specification. Packaging was discreet and arrived well within the estimated window. Will order again.,1,5,Excellent purity and fast dispatch,1
101,DC-COMPOUND-A,M. Clarke,,2025-12-03T15:07:00,Ordered the 25g 95% option. Solid product for our routine assay work. Communication from the vendor was prompt when I had a query about the SDS. Minor point: the label could be clearer on the batch number.,1,4,Good product – minor labelling note,1
101,DC-COMPOUND-A,ResearchLab_EU,,2026-01-18T11:43:00,Purchased the 5g 99%+ tier for a pilot study. Results were reproducible across three independent runs. Price is competitive for this purity grade.,1,5,Reproducible results at 99%+ purity,1
101,DC-COMPOUND-A,T. Hoffman,,2026-02-05T08:30:00,Second order. The 50g 98% lot was delivered with a CoA that matched our in-house checks. Good consistency between batches.,1,5,Consistent batch quality,1
102,DC-REAGENT-B,Priya N.,,2025-10-22T13:15:00,Used in three consecutive experiments. Each time the baseline readings were stable. Good value at the sale price.,1,4,Reliable baseline performance,1
102,DC-REAGENT-B,F. Bernard,,2025-12-19T17:55:00,Ideal for our standard protocol. Dissolved quickly in DMSO with no visible particulate matter. Would have given 5 stars but shipping took an extra day than expected.,1,4,Great reagent – slight shipping delay,0
102,DC-REAGENT-B,lab_tech_42,,2026-03-07T10:02:00,Very good purity for the price point. We ran a comparative study against a competitor product and this came out marginally better in terms of background noise.,1,5,Best in class for background noise,1
103,DC-COMPOUND-C,S. Okafor,,2025-09-30T14:20:00,The featured status is justified – premium grade lived up to expectations. Our team used the 10g premium for a six-week project with consistent results every week.,1,5,Six weeks of consistent results,1
103,DC-COMPOUND-C,A. Park,,2026-01-09T09:05:00,5g standard is a good entry point. Purity is what you expect for standard grade. May upgrade to premium for the next order depending on protocol requirements.,1,4,Good standard-grade entry product,1
103,DC-COMPOUND-C,W. Müller,,2026-02-28T16:40:00,Ordered the 1g premium to test before committing to a larger quantity. Impressed by the CoA detail. Placing a 10g follow-up order immediately.,1,5,CoA detail convinced us to scale up,1
104,DC-KIT-STARTER,NovaBioLab,,2025-11-01T10:30:00,Perfect starter bundle for our new research group. Saved us the hassle of sourcing each item separately and the combined shipping was a real cost saver.,1,5,Ideal bundle for a new lab,1
104,DC-KIT-STARTER,Dr. C. Petrov,,2025-12-12T08:55:00,Solid kit. The analytical standard included was within the tolerance stated on the label. Buffer solution also performed well. Only note: the instruction leaflet could be more detailed.,1,4,Solid kit – instructions could be clearer,1
105,DC-SOLVENT-S,GC_Analytics,,2026-01-25T11:10:00,Tried the 500ml HPLC grade for our reversed-phase runs. Baseline was flat and system suitability passed first time. Competitive price vs. other suppliers we have used.,1,5,Flat baseline on RP-HPLC,1
105,DC-SOLVENT-S,Marco V.,,2026-03-15T14:35:00,Technical grade 1L arrived well sealed. For preparative work this is more than sufficient. Would recommend the HPLC grade if you need lower UV cutoff,1,4,Good technical grade for prep work,1
106,DC-STANDARD-REF,E. Johansson,,2025-10-08T09:00:00,Used the reference standard to calibrate our LC-MS. The certified purity was confirmed by our quality team. Ampoule packaging ensures no degradation in transit.,1,5,Perfect for LC-MS calibration,1
106,DC-STANDARD-REF,QC_Department,,2025-12-22T15:45:00,Consistent lot-to-lot performance. We have now used three consecutive lots and all passed our in-house acceptance criteria. Highly recommended for regulated environments.,1,5,Consistent across multiple lots,1
